Name                                                                                                                          ,Rating ,Number of Reviews ,Mobile Number ,Website
Krishika Real Estate - Best Real Estate Agent in Kandivali (West)                                                             ,   4.8 ,(12)              ,N/A           ,N/A
Bhoomi Solutions                                                                                                              ,   4.3 ,(37)              ,099878 09718  ,http://www.bhoomisolutions.in/
Accord Investments & Properties                                                                                               ,   4.5 ,(16)              ,022 2801 4455 ,http://www.accord-ip.com/
DHAIRYA PROPERTIES                                                                                                            ,   4.8 ,(54)              ,097692 28456  ,N/A
Shagun Property & Consultancy                                                                                                 ,   4.9 ,(88)              ,097685 81909  ,N/A
"Tejasvi Realty-Desai Rakesh | Flats, Apartments, Villa, Office, Bungalow For Sale in Juhu"                                   ,   4.9 ,(118)             ,098210 96320  ,https://tejasvirealty.com/
M.Space Realty (Mumbai Space Realty)                                                                                          ,   3.8 ,(63)              ,096196 64411  ,http://www.mspacerealty.com/
Premier Estates                                                                                                               ,   5.0 ,(20)              ,077100 08968  ,https://www.premierestates.in/
Dreams2Realty - Real Estate Agents Khar                                                                                       ,   4.9 ,(56)              ,098200 86943  ,http://dreams2realty.co.in/
Siddhivinayak Real Estate                                                                                                     ,   4.4 ,(21)              ,099302 71974  ,N/A
"Sharma Estate Agency, Estate Agent, Estate Broker, property Agent, Property Consultant"                                      ,   4.2 ,(26)              ,098675 88333  ,https://sites.google.com/view/sharma-estatae-agency/home
"RealtySpaces By Shree Properties - Best Real Estate Agent in Thakur Village, Kandivali East"                                 ,   5.0 ,(65)              ,096999 96990  ,N/A
Lux Real Estate Consultant                                                                                                    ,   4.9 ,(50)              ,N/A           ,N/A
Mumbai Realtors Private Limited                                                                                               ,   4.8 ,(46)              ,098200 45933  ,http://www.mumbairealtors.co.in/
Vasstu Real Estate                                                                                                            ,   4.7 ,(3)               ,099871 41067  ,http://www.vassturealestate.com/
JT Realtors                                                                                                                   ,   5.0 ,(16)              ,N/A           ,N/A
Patkar's Realty                                                                                                               ,   4.5 ,(15)              ,N/A           ,N/A
Real Properties                                                                                                               ,   4.9 ,(143)             ,090297 05337  ,N/A
Space Realtors (I) Pvt Ltd                                                                                                    ,   4.8 ,(9)               ,N/A           ,https://spacerealtors.in/
Salasar Realtor                                                                                                               ,   5.0 ,(33)              ,N/A           ,https://wa.me/message/TG7SN4P54FYGA1
KVRPL                                                                                                                         ,   4.7 ,(23)              ,099678 55789  ,http://kvrpl.com/
Pawan Properties                                                                                                              ,   4.8 ,(9)               ,098198 51115  ,N/A
Yogi Real Estate Agents                                                                                                       ,   4.6 ,(98)              ,098200 59002  ,N/A
A2K Realtors                                                                                                                  ,   5.0 ,(64)              ,086898 32250  ,N/A
SHIVOM REAL ESTATE AGENCY                                                                                                     ,   4.9 ,(165)             ,N/A           ,N/A
Faluck Estate Agency                                                                                                          ,   4.0 ,(1)               ,098336 99932  ,N/A
Nine Yards Properties                                                                                                         ,   5.0 ,(19)              ,099206 54581  ,N/A
"Maimoon Realty - Real Estate Agent, Broker & Consultant"                                                                     ,   5.0 ,(389)             ,070213 73235  ,N/A
Mahavir Estate Agency                                                                                                         ,   4.5 ,(2)               ,098214 34141  ,N/A
First Realty                                                                                                                  ,   4.9 ,(77)              ,099206 00310  ,http://firstrealty.co.in/
Just Deal Properties - Best real estate agent/best property dealers/Agent In Mumbai                                           ,   4.8 ,(59)              ,099303 03044  ,N/A
Shital Estate: Real Estate Agent                                                                                              ,   4.3 ,(9)               ,098207 32933  ,https://www.youtube.com/channel/UCfE7XSryjdAYjkhzzCzVCdw
Chanda Real Estate                                                                                                            ,   4.9 ,(50)              ,099300 05545  ,http://www.realestateagentinchembur.com/
A1 ROYAL REALTY CONSULTANCY                                                                                                   ,   4.2 ,(20)              ,N/A           ,N/A
Sandhya Real Estate                                                                                                           ,   4.7 ,(60)              ,093728 34057  ,https://esytes.com/
Sayla Estate Agency                                                                                                           ,   4.5 ,(34)              ,090044 47785  ,http://saylaestate.com/
Prime Realtors                                                                                                                ,   3.3 ,(6)               ,097732 87413  ,http://www.primerealtors.net/
The Property Partners                                                                                                         ,   5.0 ,(33)              ,N/A           ,https://www.thepropertypartners.in/
Raj Realty Solutions                                                                                                          ,   4.6 ,(27)              ,098679 68603  ,N/A
Rajesh Real Estate Agency                                                                                                     ,   4.8 ,(180)             ,099207 29127  ,https://www.doiphodelifespace.com/
Future Real Estate Mumbai                                                                                                     ,   4.9 ,(59)              ,099672 20860  ,http://www.futurerealestate.in/
"Manisha Enterprises - Real Estate Agent | Residential & Commercial Property Consultant Agency in Kandivali, Mumbai."         ,   5.0 ,(10)              ,090691 89069  ,N/A
Gupta and Sen                                                                                                                 ,   4.3 ,(39)              ,098206 07875  ,http://www.guptasen.com/
JK Real Estate Agents(RERA REG)                                                                                               ,   4.8 ,(72)              ,093260 85381  ,http://www.jkrealestateagents.com/
FS Real Estate                                                                                                                ,   4.6 ,(34)              ,091529 47571  ,N/A
Prestige Daffodils                                                                                                            ,   4.4 ,(12)              ,081473 75811  ,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwi5s5fbqKKLAxUTHoMDHYYwCXIYABAAGgJzZg&co=1&gclid=EAIaIQobChMIubOX26iiiwMVEx6DAx2GMAlyEBAYASAAEgL6bPD_BwE&ohost=www.google.com&cid=CAASEuRo8Eo9KqYZP3RxnsEjQNn7Mg&sig=AOD64_1VgEk8MZSMOPgZa4uW2XO57qWgcg&adurl&q&ctype=99
FS Real Estate                                                                                                                ,   4.6 ,(34)              ,091529 47571  ,N/A
Mumbai Realty                                                                                                                 ,   5.0 ,(3)               ,096647 57575  ,N/A
Modi Estate Agent                                                                                                             ,   4.5 ,(2)               ,096195 86555  ,N/A
Shree Laxmi Real Estate Consultants and Developers                                                                            ,   4.8 ,(27)              ,096991 03025  ,N/A
Western Property Consultants - Real Estate Agent Mumbai | Property Advisors & Consultants | Real Estate Investments           ,   4.9 ,(53)              ,097691 39678  ,http://westernproperty.in/
Amol Real Estate                                                                                                              ,   4.9 ,(37)              ,098672 00102  ,N/A
Mikki's Real Estate                                                                                                           ,   4.8 ,(35)              ,093231 27788  ,https://www.mikkisrealestate.com/
R.R. Associates Estate Consultants                                                                                            ,   4.8 ,(17)              ,091378 82148  ,http://www.andheribroker.com/
